smiles,mol_wt,logp,tpsa
CN(C)c1c(-c2cnc(C#N)cn2)cccc1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,533.5960000000003,3.6580800000000018,137.70000000000002
CN(C)c1c(-c2cncc3[nH]ccc23)cccc1-c1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,546.6350000000002,4.872700000000004,116.81
CN(C)c1cc(-c2c(-c3cnc(C#N)cn3)cccc2-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,523.5640000000002,4.672380000000004,136.92000000000002
CN(C)c1cc(-c2c(-c3cnc(C#N)cn3)cccc2-c2cncc3[nH]ccc23)nc2c1cnn2C1=NN=CC1,523.5640000000002,4.672380000000004,136.92000000000002
CN(C)c1cc(-c2c(-c3cnc(C#N)cn3)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,450.5100000000002,3.195080000000001,111.48
CN(C)c1cc(-c2c(-c3cnc(C#N)cn3)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,533.5960000000003,3.6580800000000018,137.7
CN(C)c1cc(-c2c(-c3cnc(C#N)cn3)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,533.5960000000003,3.6580800000000018,137.70000000000002
CN(C)c1cc(-c2c(-c3cncc4[nH]ccc34)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,463.54900000000026,4.409700000000003,90.59
CN(C)c1cc(-c2c(-c3cncc4[nH]ccc34)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,546.6350000000002,4.872700000000004,116.81000000000002
CN(C)c1cc(-c2c(-c3cncc4[nH]ccc34)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,546.6350000000003,4.872700000000004,116.81
CN(C)c1cc(-c2c(C3([S@](C)(=N)=O)CC3)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,547.6850000000002,3.9950700000000037,129.05
CN(C)c1cc(-c2c(C3([S@](C)(=N)=O)CC3)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,547.6850000000002,3.9950700000000037,129.05
CN(C)c1cc(-c2c(N(C)C)cccc2C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,464.5990000000003,3.532070000000002,102.83
CN(C)c1cc(-c2c(N(C)C)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,390.4950000000001,2.9324000000000012,65.15
